"card_url","card_name","card_image","card_number","card_rarity","card_cost_attribute","card_type","card_race","card_artist","card_expansion","card_flavor_text","card_all_sets","card_att_def","card_text"
"http://www.fowtcg.com/card/4840","Dispelling Stone","http://d12h0em1d7ppg.cloudfront.net/items/48/4840/image_en/80cb6523-9280-47ee-8f12-342f2a2636e3.jpg","EDL-001","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","Treasure","jitari","Saga Cluster 1st 「The Epic of the Dragon Lord」","""Oh, it ... It's wonderful! ... I think."" ーSelesta, Treasure Hunter","Saga Cluster 1st 「The Epic of the Dragon Lord」","",""
"http://www.fowtcg.com/card/4841","Endless Starlight, the Star Sword","http://d12h0em1d7ppg.cloudfront.net/items/48/4841/image_en/e301ef78-4139-430d-b97f-425d33ad9f24.jpg","EDL-002","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","KAZTO FURUYA","Saga Cluster 1st 「The Epic of the Dragon Lord」","The light of the star lets you judge your sins.","Saga Cluster 1st 「The Epic of the Dragon Lord」","",""
"http://www.fowtcg.com/card/4842","Exorcist Mage at the Academy","http://d12h0em1d7ppg.cloudfront.net/items/48/4842/image_en/322ae963-b14e-4937-bfca-bc1e5873782f.jpg","EDL-003","R","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Human, Wizard","Kamijo Roro","Saga Cluster 1st 「The Epic of the Dragon Lord」","""Now don't be scared of things you can't see.""","Saga Cluster 1st 「The Epic of the Dragon Lord」","400 / 400","Continuous
If a resonator would be put into the field without being played from a hand, remove it from the game instead."
"http://www.fowtcg.com/card/4843","Flute, Captive Dragonoid Child // Group of Comets","http://d12h0em1d7ppg.cloudfront.net/items/48/4843/image_en/13998a19-11a6-4972-96d4-e3dcae95c212.jpg","EDL-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator // Chant","Dragonoid","Pisuke","Saga Cluster 1st 「The Epic of the Dragon Lord」","","Saga Cluster 1st 「The Epic of the Dragon Lord」","100 / 400","Activate
[Rest]: Put a [+100/+100] counter on another entity you control."
"http://www.fowtcg.com/card/4843","Flute, Captive Dragonoid Child // Group of Comets","http://d12h0em1d7ppg.cloudfront.net/items/48/4843/image_en/13998a19-11a6-4972-96d4-e3dcae95c212.jpg","EDL-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator // Chant","Dragonoid","Pisuke","Saga Cluster 1st 「The Epic of the Dragon Lord」","","Saga Cluster 1st 「The Epic of the Dragon Lord」","100 / 400","Activate
[Rest]: Put a [+100/+100] counter on another entity you control."
"http://www.fowtcg.com/card/4843","Flute, Captive Dragonoid Child // Group of Comets","http://d12h0em1d7ppg.cloudfront.net/items/48/4843/image_en/13998a19-11a6-4972-96d4-e3dcae95c212.jpg","EDL-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator // Chant","Dragonoid","Pisuke","Saga Cluster 1st 「The Epic of the Dragon Lord」","","Saga Cluster 1st 「The Epic of the Dragon Lord」","100 / 400","Activate
[Rest]: Put a [+100/+100] counter on another entity you control."
"http://www.fowtcg.com/card/4843","Flute, Captive Dragonoid Child // Group of Comets","http://d12h0em1d7ppg.cloudfront.net/items/48/4843/image_en/13998a19-11a6-4972-96d4-e3dcae95c212.jpg","EDL-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator // Chant","Dragonoid","Pisuke","Saga Cluster 1st 「The Epic of the Dragon Lord」","","Saga Cluster 1st 「The Epic of the Dragon Lord」","100 / 400","Activate
[Rest]: Put a [+100/+100] counter on another entity you control."
"http://www.fowtcg.com/card/4843","Flute, Captive Dragonoid Child // Group of Comets","http://d12h0em1d7ppg.cloudfront.net/items/48/4843/image_en/13998a19-11a6-4972-96d4-e3dcae95c212.jpg","EDL-004","SR","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator // Chant","Dragonoid","Pisuke","Saga Cluster 1st 「The Epic of the Dragon Lord」","","Saga Cluster 1st 「The Epic of the Dragon Lord」","100 / 400","Activate
[Rest]: Put a [+100/+100] counter on another entity you control."
"http://www.fowtcg.com/card/4844","Grace of the Star","http://d12h0em1d7ppg.cloudfront.net/items/48/4844/image_en/0e3b10c8-0835-4250-8813-135308d0a5a8.jpg","EDL-005","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Chant","","sakura moyon","Saga Cluster 1st 「The Epic of the Dragon Lord」","This grace gives divine protection to the blessed.","Saga Cluster 1st 「The Epic of the Dragon Lord」","",""
"http://www.fowtcg.com/card/4845","Light Servant of Ragnarok","http://d12h0em1d7ppg.cloudfront.net/items/48/4845/image_en/3a67ffec-1346-47ab-b982-366dc1d54144.jpg","EDL-006","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/white.png","Resonator","Deity","jugemt","Saga Cluster 1st 「The Epic of the Dragon Lord」","Ragnarok appeared from another dimension, and the world shook and trembled.","Saga Cluster 1st 「The Epic of the Dragon Lord」","500 / 700","Continuous
If damage would be dealt to you, it's dealt to this card instead."
"http://www.fowtcg.com/card/4845","Light Servant of Ragnarok","http://d12h0em1d7ppg.cloudfront.net/items/48/4845/image_en/3a67ffec-1346-47ab-b982-366dc1d54144.jpg","EDL-006","N","http://d12h0em1d7ppg.cloudfront.net/docs/icons/cost/01.png","Resonator","Deity","jugemt","Saga Cluster 1st 「The Epic of the Dragon Lord」","Ragnarok appeared from another dimension, and the world shook and trembled.","Saga Cluster 1st 「The Epic of the Dragon Lord」","500 / 700","Continuous
If damage would be dealt to you, it's dealt to this card instead."
